Id,LastName,FirstName,GPA
131826,Emerson,Shaelene,4.0
136634,Adamski,Jayro,4.0
118078,Remley,Tylynn,3.67
129955,Thornberry,Eriko,4.0
116307,Fontenot,Octavian,4.0
104957,Slone,Kasim,4.0
129068,Wadsworth,Anjelina,3.67
114380,Moen,Jen,3.67
138519,Switzer,Lecresha,4.0
132843,Choy,Lindy,3.67
113179,Rawson,Valissa,4.0
121037,Tregre,Marle,4.0
114915,Funes,Tunisha,4.0
135155,Esqueda,Marquice,4.0
124226,Depasquale,Tamillia,3.67
122418,Castanon,Roselina,4.0
109268,Dossett,Blima,4.0
103976,Birch,Donetta,3.67
115597,Hales,Brendan,4.0
135262,Rudd,Shina,4.0
122105,Vess,Tyce,4.0
114653,Bernabe,Amandra,3.67
129538,Talton,Simcha,4.0
106802,Leatherman,Laquinton,4.0
116743,Bryant,Carling,4.0
122796,Reitz,Tekisha,3.6
111262,Wilfong,Timoth,3.6
131928,Whitacre,Geffery,4.0
115440,Campbell,Densie,4.0
134686,Parris,Jame,4.0
130253,Nardone,Mariavictoria,4.0
138922,Bittinger,Shameika,4.0
105817,Roche,Adryan,3.67
106896,Shealy,Kennita,3.67
107945,Aponte,Sharina,3.67
135428,Sparks,Alys,3.67
124943,Pennock,Mari,4.0
110870,Hicks,Yashika,3.67
117694,Moya,Bettye,4.0
127302,Bandy,Jarome,4.0
128252,Goings,Madelin,3.67
127228,Dismuke,Shawnesha,4.0
121138,Feliz,Kyan,4.0
114016,Mclin,Kenita,4.0
124424,Ebeling,Esther,4.0
136056,Majeski,Faye,4.0
121838,Kappel,Jameal,4.0
110878,Boehm,Jaccob,4.0
138033,Field,Tynika,4.0
111879,Thurmond,Kristiana,3.67
112414,Schaible,Nikie,3.6
115487,Swinney,Lavell,4.0
102689,Hassan,Tell,4.0
107665,Woodhouse,Suzzette,3.67
139657,Leatherwood,Der,4.0
119778,Millis,Isa,4.0
125175,Orton,Jeana,3.75
105334,Harper,Rheannon,3.67
138723,Rigsby,Tawnee,3.67
127667,Esqueda,Ruben,4.0
121189,Shropshire,Trenecia,3.67
130362,Doney,Sunday,4.0
135598,Hinrichs,Sujey,3.67
106790,Gutman,Winfred,4.0
127911,Caffey,Ondrea,3.67
134178,Kim,Latrease,3.75
112526,Tolbert,Rashod,4.0
100163,Pidgeon,Rodriguez,3.67
121079,Wray,Faiza,3.75
126235,Berndt,Gideon,4.0
138116,Suzuki,Cerise,4.0
115533,Sevier,Vi,3.67
122529,Mcdermott,Sharay,4.0
130172,Burris,Melodee,4.0
115178,Aguilera,Rodrigo,4.0
102967,Gazaway,Salem,4.0
136803,Crafton,Maxie,4.0
132325,Malinowski,Shakirah,4.0
105465,Underwood,Naheed,4.0
139506,Gwaltney,Josette,3.67
107486,Alaniz,Niko,4.0
100461,Bane,Simpson,3.67
123451,Ide,Mitchell,4.0
105002,Hayworth,Vong,4.0
110572,Gathers,Gevin,4.0
103955,Prescott,Keishia,4.0
115835,Devos,Na,4.0
114606,Kerner,Kaylan,3.75
117104,Mehl,Allie,3.67
102517,Gaffney,Rayon,4.0
108451,Socha,Madai,4.0
115601,Damico,Kjell,4.0
108706,Chow,Nalleli,3.67
133573,Cave,Malene,4.0
125294,Ringo,Kalah,4.0
137027,Meredith,Emre,4.0
116222,Nicol,Margalit,4.0
122575,Bickerstaff,Darbie,4.0
132500,Atchley,Michelangelo,4.0
139977,Hartz,Georgina,4.0
100222,Celaya,Ronica,4.0
135117,Weibel,Trish,4.0
108001,Alvarado,Kedric,4.0
139693,Carballo,Fernado,4.0
101954,Leddy,Teira,4.0
104232,Shand,Silverio,4.0
117281,Hempel,Wendi,4.0
116430,Woolsey,Betsaida,4.0
132137,Decarlo,Loyd,4.0
133602,Hereford,Anisha,4.0
119097,Pipes,Flannery,3.67
124163,Nunley,Jodie,4.0
100062,Portillo,Antoni,3.67
121665,Dooley,Lenore,4.0
138548,Mcspadden,Tyneesha,4.0
102927,Tennyson,Cerise,3.67
105979,Riser,Nathen,3.8
125874,Shorey,Aven,4.0
110581,Thorson,Shauntina,3.67
106099,Mares,Jameson,4.0
125844,Simonsen,Shakita,4.0
116713,Leland,Analia,4.0
116280,Spiegel,Tan,4.0
137934,Desmond,Noreen,4.0
113556,Mcnaughton,Anton,3.67
102024,Klinger,Jossie,4.0
109542,Hershman,Harriett,4.0
114565,Mcgregor,Dewaine,4.0
114137,Street,Tomislav,4.0
123404,Savage,Severiano,3.67
111382,Waring,Cecilio,4.0
136664,Stansell,Tacoma,3.67
132016,Friedman,Yashica,4.0
113178,Jaeger,Brently,4.0
122976,Beasley,Odell,3.67
118223,Schauer,Loria,3.67
112098,Chamblee,Shaya,4.0
100113,Serafin,Lenae,4.0
119457,Fawcett,Kionna,3.67
136205,Jesus,Shaunelle,4.0
135335,Mcalister,Houston,4.0
137249,Newsom,Carrington,3.75
134447,Rhyne,Callahan,4.0
109669,Jackson,Leshia,4.0
137070,Killingsworth,Shawnda,4.0
128359,Burrow,Halie,3.67
131734,Nicholes,Tomothy,3.8
114742,Denning,Lasasha,4.0
112916,Rao,Sary,4.0
113032,Millan,Jalon,4.0
102094,Bullis,Dyann,3.67
101151,Swarey,Jaccob,4.0
135659,Liu,Estefani,3.67
123256,Hazzard,Jeanita,4.0
127488,Tharpe,Akilah,4.0
108072,Longshore,Janell,3.67
116874,Caron,Kaleah,4.0
113233,Corry,Nida,3.75
136114,Nicklas,Mishael,4.0
130688,Back,Emmylou,4.0
105426,Bohanon,Breianna,4.0
119153,Gorton,Ainsley,4.0
122792,Benz,Natale,4.0
111096,Wilber,Naeem,4.0
103354,Carpenter,Taro,4.0
107160,Lombard,Maressa,3.67
100539,Mebane,Katerine,4.0
109330,Standridge,Larren,4.0
135538,Rackley,Keyna,3.67
107714,Shockley,Brea,4.0
129065,Lipman,Mali,4.0
126782,Im,Zer,3.67
101193,Gower,Avram,4.0
121500,Willaims,Dannel,4.0
134741,Lien,Tennille,4.0
113048,Rath,Errick,3.75
103419,Knox,Carolanne,4.0
123166,Shrum,Tashima,3.8
113628,Koehn,Shemica,4.0
130022,Mcdougall,Jamian,3.67
110253,Appling,Nena,3.67
110659,Serio,Britiney,4.0
130891,Dills,Jessyca,4.0
119087,Girouard,Linsday,4.0
134257,Firth,Pascha,4.0
125973,Marable,Sunnie,3.67
102435,Storey,Dandrell,3.67
131491,Dyck,Charlotte,4.0
135944,Deming,Silena,3.67
129390,Wasson,Sindy,4.0
131692,Hitch,Evelia,4.0
126525,Player,Hannan,4.0
101955,Farnsworth,Cassandra,4.0
